,query_idx,query_original,fused_ranking
67,807834,what is the basis for all the symptoms associated with an allergic reaction,"{'412701': 4337.246599879781, '1716685': 3464.1709399229526, '2831257': 3193.9603453674094, '2831262': 2667.4640719380377, '2831256': 2000.7110357848792, '1390739': 87.60778536656807, '251893': 28.979879861917933, '5643905': 21.307253619972954, '6949192': 13.501169764798755, '1198275': 11.695988502159832, '251897': 10.859611655635184, '8238447': 9.879563012506972, '251899': 7.279703239868439, '5720196': 7.207178495431509, '4394697': 5.820854020388747, '1198276': 5.306929314274763, '162759': 4.76240651853948, '3431736': 4.222592906798401, '6651782': 3.7883737369483654, '470228': 1.9524363154673554, '1198278': 1.6005494655610868, '4950835': 1.0571718255156193, '1517071': 0.674358933346983, '5720192': 0.5652174714016587, '1517075': 0.3624690380150962, '3034359': 0.3200435540834635, '6651785': 0.18037048027394603, '4148212': 0.02488147755439511, '3232610': 0.007136533668140139, '263126': 0.0, '4394699': 0.0, '1086506': 0.0, '4181978': 0.0}"
68,98374,convert dvd freeware,"{'2859093': 112.85135972168928, '2859095': 90.59157157468863, '2859090': 86.23483998999848, '2859089': 80.76025204748845, '2859087': 70.45642016017747, '2436603': 4.085841635526446, '2436606': 2.976636328577948, '2436607': 2.6560701780877594, '2436604': 1.517760601527763, '16521': 1.1448527404784752, '554478': 0.6168424436871484, '3163390': 0.5973450571279697, '6368191': 0.43087995228093945, '1513883': 0.4212385744498331, '2436602': 0.3573236303631134, '6503193': 0.3401592666693793, '961742': 0.3169002844929799, '554476': 0.27044597565198947, '288134': 0.25019876152485565, '4562795': 0.1407652130698015, '6368193': 0.12222145273380744, '796286': 0.08158597575626518, '3163393': 0.07890699820391489, '4066007': 0.07726761485156086, '334574': 0.07197543957156136, '2136579': 0.07127339050846977, '961743': 0.04461300823758983, '3163395': 0.03333473023690107, '6503186': 0.03326961769314914, '961737': 0.02605490339746401, '2173889': 0.02462825031243811, '406466': 0.023627201643562697, '2296824': 0.0234948508339863, '2759426': 0.021089182235926658, '3008366': 0.018639505587315003, '2759421': 0.018375927400802683, '2442912': 0.01806411370589116, '6503189': 0.016981606017488632, '2759419': 0.016698403343053232, '2759427': 0.01650569134362641, '5055633': 0.015248059957609642, '6368199': 0.015197868152612759, '4175404': 0.014775973753728128, '6503185': 0.0098151090761858, '207688': 0.008838666335671742, '4298027': 0.007846160163451146, '428252': 0.007092027076315459, '961736': 0.007077145273634337, '406461': 0.006287820832610041, '796288': 0.006199497951275931, '4562792': 0.006048064494050894, '406465': 0.005536124384388523, '7924175': 0.004624829490799884, '5055630': 0.001568308258661647, '3163389': 0.0011574233482155706, '5612804': 0.0010831741880652083, '3163397': 6.141901270499144e-05, '4703547': 0.0, '4562797': 0.0, '207689': 0.0, '5612805': 0.0, '266746': 0.0}"
69,662541,what fort is in pennsylvania,"{'2892101': 39.83768196377189, '2892104': 35.49709827783769, '2892105': 32.44859966902019, '2892098': 31.179289219634065, '2892099': 31.107977731431568, '2892106': 25.430819698107126, '739807': 0.8065542309127125, '2710844': 0.6729838112267652, '2710841': 0.6553967190332608, '1853585': 0.598185392439234, '2710843': 0.5332455857642131, '3163393': 0.4421707035021864, '1880128': 0.3873795538378968, '2629976': 0.3497442957801422, '3163396': 0.3194997117824472, '6610801': 0.31864738573237905, '1853584': 0.31843578924128396, '2629975': 0.29916922322338324, '6610802': 0.28863675466619443, '496889': 0.22490874230990676, '1853577': 0.21352664276548994, '496891': 0.21270112211627507, '2710842': 0.20633607808114474, '2710848': 0.18260185091113573, '5783171': 0.16534582572723938, '55269': 0.12335832398904367, '1578305': 0.10126844552688954, '4703546': 0.10025845072542405, '6610800': 0.09805654181161726, '7945681': 0.09574930423620645, '3249179': 0.08366055900079711, '5151304': 0.07348874190796233, '686270': 0.06725300740174031, '3163389': 0.06524789597603171, '3008367': 0.059153893957739984, '5783175': 0.05556981658053679, '2629981': 0.054576544669879865, '4994210': 0.05366271267547134, '1260538': 0.051060141344598464, '2759421': 0.05059193011671431, '2636400': 0.04680739258941243, '739803': 0.04624986654740222, '3163395': 0.043360993841790874, '1880121': 0.040882670695748025, '4703543': 0.040496324114544416, '739811': 0.039595920836477, '102386': 0.038413541486750184, '3249182': 0.03442046516653323, '1880129': 0.018372475607320506, '1880126': 0.017794522182873296, '1880123': 0.017778686831177015, '1513887': 0.017207106691424875, '1037776': 0.01702531753373835, '172367': 0.014226370883574991, '2173888': 0.013267383058073614, '5865929': 0.012999308238263438, '4703541': 0.01044652928741847, '4994209': 0.00722704179602667, '4562792': 0.006573297283418948, '3309549': 0.006432711424033996, '5264165': 0.005058481266221625, '739805': 0.0030625333462192357, '739804': 0.0019323494265526219, '5612805': 0.0014616252719140002, '739802': 0.001356981893183767, '4703547': 0.0008704070432026299, '2710845': 0.0007254575709202452, '1189070': 0.0, '3008364': 0.0, '5612800': 0.0, '1008960': 0.0}"
70,462130,names of different types of cockatiels,"{'2998244': 1853.269117847377, '2998249': 1673.398060436682, '2998247': 1663.2515140877636, '2998251': 1438.256855889576, '2998248': 1358.833780319002, '2096603': 155.56756796309034, '147333': 89.60221244724343, '2096608': 73.03982658812055, '2096604': 67.80544571785957, '2629981': 65.26976642042693, '7924177': 61.103726207534095, '2629974': 34.33760804417387, '2044460': 31.774235887991875, '2096605': 29.78792807234716, '6936661': 27.26016969253769, '5783173': 16.238549774094057, '5783175': 15.668619479993984, '5783178': 14.241837345879317, '5357681': 14.230552469389137, '7924170': 13.258047951369887, '5783177': 10.412273787695641, '4434766': 9.47614449350502, '2044458': 8.911289441385222, '4716745': 8.060786640157533, '5357680': 5.541919575323344, '6936663': 3.373885806936282, '5783171': 3.244102009642415, '2044464': 2.9173940485409244, '706243': 2.445590866702622, '317174': 2.305105880987132, '6936665': 2.0124480852412483, '4716749': 1.6322282353382753, '5357684': 1.4618389109717946, '317176': 1.2894286882453077, '6936667': 1.267182393177423, '5783176': 0.8700522874629028, '3034360': 0.8161537694066925, '2710848': 0.7673279013885927, '6036173': 0.7641917515410462, '4950842': 0.7199867349441144, '2096600': 0.5958064063607647, '2710845': 0.5708708344279246, '3335174': 0.47887553027725316, '4950836': 0.46460180431279446, '706236': 0.4268417340099887, '3034359': 0.4205669822572847, '4434768': 0.40101436291315373, '4434770': 0.3771207257973169, '3316290': 0.3738955147203813, '5021024': 0.34448561521752197, '2096601': 0.2820989106788554, '706235': 0.21092971772422262, '4703541': 0.2053213906001467, '3249184': 0.20511733356177617, '317175': 0.19401958893060522, '4175409': 0.1774970946630565, '2710842': 0.16047353583185464, '2710844': 0.14452938907560292, '1513883': 0.14081401416380707, '2629976': 0.13080189996284877, '5021023': 0.06811741821207405, '3467975': 0.05926498906685832, '3316291': 0.05761104692044867, '2629972': 0.05080556870028385, '2710843': 0.049722031474152925, '3917812': 0.04469611992247498, '706238': 0.036506722310133084, '3008367': 0.03400913355400344, '739807': 0.03267572501701631, '6036172': 0.029243491587187767, '4175407': 0.021208429054719185, '706240': 0.017602723791360277, '1260538': 0.016548239059558347, '3249177': 0.014371959332787367, '3467971': 0.009367150190737191, '5357679': 0.009254689490790616, '6855086': 0.0031643366677427476, '317179': 0.0020882681496606032, '3034354': 0.0006937316637963439, '4950840': 0.0005843458167549919, '317177': 0.0}"
71,84784,causes for charley horses,"{'3034359': 3.605686839984214, '3034354': 3.3938890816128913, '3034360': 3.38658303998767, '3034358': 2.6077245100108746, '3034353': 1.225463072505352, '1198278': 0.5383131357961316, '5643905': 0.39154101476814673, '5720191': 0.3082408502480943, '3232607': 0.30389516363110936, '3232611': 0.2658306358436481, '1198283': 0.26355481909603606, '1517073': 0.25973534092649, '1522203': 0.2439076512460705, '5021024': 0.24062939473769068, '1198276': 0.22456021218254507, '1198279': 0.20012067229689323, '163907': 0.15244858317869917, '5177386': 0.1422376847118787, '239291': 0.12068729218023092, '369811': 0.11641380954273609, '120533': 0.09959017723763752, '6323377': 0.09101637167245495, '5720196': 0.06845021405602947, '5177380': 0.05198776155564662, '470228': 0.04995961540115372, '3002971': 0.0374163528465762, '1517075': 0.03599929295352729, '3093874': 0.031311021673797984, '369816': 0.024341393705777974, '3093882': 0.023569919567037412, '4453153': 0.016189514120572804, '6323384': 0.014957577526651908, '786638': 0.01491748441747918, '6323376': 0.012329830830559996, '6323379': 0.01206347250518369, '3917762': 0.0023822466109795345, '7182023': 0.001667732899135515, '17276': 0.0008327563182424615, '5720192': 0.0005578942685739607, '6949191': 0.0, '903580': 0.0}"
72,522468,tooth decay symptoms,"{'3093882': 14.173388189016759, '3093879': 11.854150913548356, '3093877': 9.002612671602272, '3093874': 8.599091850721841, '3093878': 5.235701212385121, '5177380': 1.5266002234238463, '5177386': 1.3471821344631199, '1517077': 0.7366584374220648, '96218': 0.6958270737770781, '1517074': 0.6645959174627563, '5712807': 0.6570928991074387, '3034359': 0.5880423343953576, '3034354': 0.48846634025388397, '5177381': 0.37004368637708074, '5643903': 0.36980131490144896, '263120': 0.36546280763748207, '3034358': 0.3548289143385569, '1517071': 0.3043816576923959, '263128': 0.28126896624012265, '5643905': 0.2709889557298762, '2019365': 0.27029514850886405, '1517073': 0.20258315479760464, '1522203': 0.20193949938138234, '976907': 0.16216211159904323, '2019370': 0.14454516806981194, '4394699': 0.14152500243987187, '2713590': 0.12638626381045504, '4365158': 0.11690138223096827, '976905': 0.11320698376793265, '6323384': 0.09557597098811066, '238027': 0.09277457588968639, '245532': 0.07511681236604177, '3996750': 0.07422445634311904, '5643906': 0.07164550946075844, '369811': 0.07069158831252305, '357160': 0.051483440126156216, '239291': 0.05020419725739754, '94487': 0.04985775834306609, '1198278': 0.04648245230474685, '3917762': 0.042041681952001496, '357162': 0.03781874446726564, '6040141': 0.03717505987783282, '3463399': 0.031435036947532566, '357155': 0.03018387613287298, '369816': 0.02917028517033304, '162759': 0.02916035435087329, '459004': 0.0287405230082421, '6651785': 0.0275336391340447, '369809': 0.026834775361758923, '2210794': 0.02587249026830444, '120533': 0.02546624165090986, '6323376': 0.02543107817478489, '3034353': 0.025043631116007943, '1198283': 0.021043299937799406, '1517075': 0.020700041327549813, '357159': 0.01977887196877529, '346538': 0.018850858181543962, '2545915': 0.018151933424865485, '2019364': 0.015901593275301034, '343317': 0.013501981255435041, '357161': 0.01256815660584835, '1198279': 0.012161931350261437, '369813': 0.010836806885885262, '6651783': 0.008825471668480241, '7182025': 0.008689140683199167, '251897': 0.008216979188722788, '976908': 0.00601158856232832, '263121': 0.004979182925339094, '263126': 0.004918370310454295, '922444': 0.004031133321159634, '5720196': 0.0034675263528715907, '4181970': 0.002232278742903265, '922442': 0.0013225065535299534, '4365155': 0.0, '238023': 0.0}"
73,185008,famous people who was born in 1958,"{'3132756': 110.85809177776845, '3132747': 98.79650889177299, '3132749': 98.77537410441022, '3132750': 98.58265588709958, '3132751': 83.00041943080333, '5055631': 9.502438171665737, '3008362': 6.499118075106509, '3008363': 4.136104890311561, '796282': 2.72801571448891, '6503191': 2.5495828798781246, '6503185': 2.1304006810877247, '6610802': 1.7616408237792645, '2173891': 1.7034264190484945, '3008361': 1.5437969600435384, '3008366': 1.4503192226268977, '3163393': 1.3150222088074772, '406461': 1.2998232436269208, '172362': 1.2602841903847812, '4562797': 0.9256861061478426, '5055633': 0.9005526781467983, '1853585': 0.8917227156141275, '5055630': 0.8704332101961928, '1853579': 0.856481069801314, '4298031': 0.8262752170560228, '6503193': 0.8107109664852669, '2173889': 0.7469828252060697, '6610800': 0.7353771468063359, '5383221': 0.731094312779627, '796288': 0.6638763452543149, '3163397': 0.6591778365999899, '796290': 0.6206102969368725, '4562792': 0.5497335867059425, '6610796': 0.46160546750571674, '2153181': 0.42185021792787114, '4298027': 0.37799968242068516, '5055636': 0.37350682810283187, '796286': 0.37200387206649044, '2153182': 0.3461683721699049, '2173893': 0.34270010316844124, '6503189': 0.3403067752671064, '796284': 0.33120892374900457, '5055628': 0.32009466708452744, '961074': 0.20740829283038642, '1282689': 0.20553778311937454, '1301088': 0.1748098529993639, '172358': 0.1625812829666808, '3309550': 0.1457426913142939, '1880128': 0.14284224461301598, '6610805': 0.14084818797393023, '2173887': 0.12808697526691903, '3309552': 0.11156259009064676, '1282695': 0.09203812416760579, '2892098': 0.08266608974659045, '5277728': 0.06872757036821771, '6503186': 0.034237045150098136, '406466': 0.010352919094442893, '2153174': 0.006119032235461191, '428246': 0.0021667404421829763, '1282688': 0.0, '2153178': 0.0, '4562795': 0.0, '1282690': 0.0}"
74,996914,where is the nsa located,"{'3163390': 3.6547397194634907, '3163395': 3.513215336465397, '3163396': 1.2645738396023152, '3163393': 0.7953436520138726, '3163389': 0.7666520051368391, '3163397': 0.6454669907724473, '232431': 0.32358514028615093, '4703547': 0.260681458677156, '4703546': 0.14851442859086894, '232432': 0.1081615758042065, '232436': 0.10525330930680377, '6610801': 0.10379132408756896, '2442913': 0.09012899751295186, '232429': 0.08744158805006454, '4703539': 0.06155139286086935, '4703543': 0.0551732072969721, '4703541': 0.05453077875824496, '1513883': 0.05326782786823131, '6610796': 0.0512096561477296, '6610805': 0.04272283116361278, '55269': 0.0413707611814736, '2173889': 0.033436140906006724, '1513887': 0.028952966290503916, '1513888': 0.01558397423935263, '2442912': 0.014779552516319055, '2173887': 0.009765054288611096, '1513881': 0.009427196419073238, '6610802': 0.006146479960955959, '266746': 0.006079823786078644, '2173891': 0.00487564475627886, '232435': 0.0, '2173888': 0.0}"
75,84606,cause of yellow leaves on tomato plants,"{'3168707': 3764.7653187422147, '1086502': 3700.9166099090007, '3168706': 3332.170841096299, '193606': 3276.1270023337643, '1086506': 2935.8209927561184, '4026383': 73.00397534849587, '4026379': 57.607284976887144, '5021019': 49.337277031668634, '1565868': 27.278008725921726, '4026381': 26.07471172509164, '5643901': 10.594039551555404, '1517077': 8.074709627372394, '5357681': 6.92618603321635, '1771385': 6.206657248517791, '4181976': 6.0181147334978355, '2545915': 4.805980367144218, '3427797': 4.544633717007115, '4181972': 4.301188545832174, '251897': 3.5109317014311476, '5357679': 3.4096292238461348, '1128850': 2.593222300328268, '5177382': 2.5761102741587973, '1390739': 2.329111655400319, '5177380': 2.323788783642537, '3093874': 2.071390883067916, '2545912': 2.069178543746756, '3093878': 1.9566917192536266, '146598': 1.9430672595650063, '1517073': 1.9035019520190972, '3917816': 1.846262966651166, '5712807': 1.6228845082686942, '1522203': 1.3846908400879183, '357162': 1.3431352660430194, '6040141': 1.033450004934176, '5177381': 0.924998318274493, '1390733': 0.8206946000972036, '1771383': 0.8185168980749769, '5643905': 0.5410022763761508, '4394699': 0.489161795190454, '2545918': 0.470080451002443, '2706979': 0.1911162456304984, '5357684': 0.1854810729860909, '1565871': 0.161366560512027, '1386350': 0.13862351035568848, '1565872': 0.12075807103807819, '238030': 0.10863358591548197, '2545916': 0.10720560475036917, '2545917': 0.09578779241353368, '4181971': 0.05119525988631447, '719994': 0.04042743336231935, '3427791': 0.03921159599318656, '1517074': 0.03579196448643251, '4026380': 0.030379872586145062, '3665327': 0.027919438165030487, '4181978': 0.020640410148806174, '4394704': 0.013914223638394164, '4950835': 0.01310216707006537, '5357682': 0.012246346029176422, '2754978': 0.009323267937801973, '1565874': 0.0068304503184186665, '147333': 0.006810747026033263, '2044464': 0.00612949181327061, '3917811': 0.004960606901395469, '6651785': 0.002914169083835219, '566618': 0.002554517523800417, '357155': 0.0023193829038317044, '3494288': 0.002277601822766436, '3427796': 0.0014137993162516005, '1771388': 0.0012445611948681773, '1679435': 0.0, '1517075': 0.0, '2831256': 0.0, '3371129': 0.0, '722033': 0.0, '566615': 0.0, '6046280': 0.0, '786633': 0.0, '6046281': 0.0}"
76,915653,what types of hamburgers are there,"{'3193111': 97.96854309682195, '3193114': 95.60830580034595, '3193115': 86.35325324194477, '3193110': 67.18611475592729, '3193116': 46.73407675441759, '7924178': 4.216155073818019, '1227030': 3.494095798112753, '1227034': 3.273181843300326, '2296829': 2.0965758715516687, '7924175': 1.967875848421515, '1639019': 1.8805873677948748, '7924171': 1.2779969923936814, '16521': 0.9948472396202437, '1639020': 0.3991840999792663, '2482606': 0.37965994259183544, '1513883': 0.30977837661374785, '7924177': 0.28086205428087374, '1639025': 0.2701457778677041, '4703539': 0.22099148239765554, '4703546': 0.20282212197016103, '1513888': 0.17641013070998088, '1227026': 0.16737881617819927, '172358': 0.1588627565797896, '2096603': 0.1289960972745956, '1639027': 0.1236360593442715, '2759421': 0.08342917831985167, '2296831': 0.052886025474534436, '2096600': 0.04123298276881336, '7924170': 0.02931851536107297, '1227032': 0.02669839669418285, '6368199': 0.019103765661859867, '3163389': 0.017551801976067455, '2296832': 0.01391725863322339, '6368196': 0.013230209711039954, '3163395': 0.006077641341301562, '1513887': 0.0056147470972843306, '2096604': 0.004928123272548402, '1227028': 0.0036466516597071586, '796290': 0.0015290607451075718, '2482609': 0.0014401464682083146, '1639026': 0.0010621998731705088, '2859089': 0.0}"
77,524748,triggers for vertigo attacks,"{'3232610': 4.0, '676540': 2.008076336707416, '389281': 1.8620800118910141, '676546': 1.7259604369392911, '676537': 1.3628963336582496, '5720191': 0.937448810715591, '676539': 0.8733187088796719, '676543': 0.860173473591579, '1522203': 0.7370377989756531, '5720196': 0.5389217018537285, '976901': 0.4744240728410129, '976900': 0.43820527323316283, '251897': 0.3689065881012735, '251893': 0.35645772281076504, '976905': 0.3560202640456317, '251899': 0.24190796593935443, '239291': 0.2288350401226401, '3034354': 0.12306972457466384, '4365158': 0.12077878186321378, '470228': 0.0846062076693498, '251892': 0.06993743532499051, '1198279': 0.06884302395348679, '1198278': 0.05201330598084713, '6949191': 0.047021293489589, '6949189': 0.04432578439186185, '5720189': 0.04131623299851129, '3917762': 0.030794100180373988, '4365155': 0.02991108674455035, '6949192': 0.026874880397115258, '4181978': 0.0064378606186063355, '4181970': 0.004674131506971085, '6949193': 0.0}"
78,762280,what is jewelry made of,"{'4434770': 16.346469092808878, '4434769': 15.605928219102916, '3249184': 15.570069855794486, '4434768': 13.432808308336684, '3249178': 12.157636539451458, '2710842': 9.280309353472502, '3249177': 8.631661722448536, '2710848': 8.313752405353727, '4434766': 8.288068674923583, '1260538': 6.341179815801401, '2710845': 5.9971729091169115, '2710843': 3.152824322070433, '4064439': 2.8785992132156726, '2710844': 2.659867100170103, '4064438': 2.5186812642772014, '3249179': 2.465388524061224, '2710841': 1.628950160988707, '2998247': 1.331518964670395, '4064443': 1.2476169498653766, '3249182': 1.0, '2998244': 0.813460554030769, '4064442': 0.5423766987143803, '4064440': 0.5343004078327273, '3316295': 0.38548072688034923, '903579': 0.28655207705406194, '4811567': 0.2436655330824437, '2706972': 0.1888521707957205, '4359719': 0.16577723043877976, '5357682': 0.14735810814850364, '1008960': 0.13734057258827645, '5357679': 0.1267913685829834, '4811568': 0.1193931328057135, '2706974': 0.11357541478486417, '903581': 0.09609756140566678, '3316290': 0.08809150916475872, '903580': 0.08261322114191162, '5357680': 0.06976346874698137, '2998248': 0.051517836760013036, '5357684': 0.04478289652434353, '1879916': 0.03611286585503913, '3316293': 0.033730555834399135, '3467975': 0.022833866640514972, '5675561': 0.022263907920098653, '5768027': 0.017242097699075677, '903582': 0.017002950491406002, '903583': 0.006431015828896616, '8289814': 0.002335621825657551, '3467969': 0.00011178925284186604, '6827590': 0.0, '2998251': 0.0}"
79,855101,what is the zip code for milwaukee,"{'3309550': 98.017323666117, '3309554': 95.52288084234715, '3302770': 93.72218116157416, '3302762': 89.79169591423309, '3302763': 87.69221346378613, '3309549': 74.24926171970792, '3309551': 68.08340588101278, '3309552': 65.39560897773059, '3302769': 55.452561767255006, '3302767': 55.407959628184756, '1880126': 22.58308916313446, '1880128': 21.390150378140426, '1880123': 18.090864326197142, '1880129': 16.203265336120936, '1880121': 14.337026550920736, '172362': 9.175527372577942, '3163389': 1.9271982923138948, '3163390': 1.358467441205158, '172367': 1.3200880810595392, '172358': 1.09601846176466, '172366': 0.6904621249462122, '5383218': 0.346159371192003, '6610801': 0.2962906945499027, '6610800': 0.2758935887473729, '6610796': 0.2583305209551066, '6779124': 0.21103482454416772, '3163393': 0.18941570272455144, '3163395': 0.17195959855241869, '1853578': 0.12141641132402307, '6779130': 0.10872577265222176, '428244': 0.08522748114419429, '172364': 0.08283344073782309, '1853584': 0.08085150505879568, '102386': 0.07743060790275946, '2173887': 0.07309003542394737, '4703541': 0.059375842465850655, '6779132': 0.05602165653633294, '2173891': 0.05295061760379206, '5383221': 0.04798248745012208, '4175404': 0.04042687214309008, '6610805': 0.03966487030924243, '2629972': 0.016612239097762143, '2173888': 0.009935358408067496, '2173893': 0.004679010833707135, '232429': 0.0029812006885093167, '6503186': 0.002904342146107943, '6503189': 0.00037574483625216345, '2096601': 7.73605954852263e-05, '5264165': 0.0, '232431': 0.0}"
80,855324,what is the zip codes for omaha,"{'3309554': 62.46746001052686, '3309550': 61.7532856070272, '3302770': 59.3587294732971, '3302762': 58.954453648343154, '3302763': 58.76571954773783, '3302767': 54.59828952854733, '3309552': 53.68885595943917, '3309549': 53.425431173137255, '3302769': 47.93955689710059, '1880123': 35.0865521181992, '1880126': 32.78949454202742, '1880129': 22.50786127795068, '1880121': 12.555155716065272, '3309551': 8.059616246481585, '1880128': 6.35817925105009, '3163389': 1.648292619281205, '4175404': 1.0509013113835182, '172364': 0.4337759396824825, '3163390': 0.40088324715284396, '172366': 0.1637566594743512, '5383218': 0.136434609728858, '3163395': 0.10842498285637597, '6610801': 0.09560302976586794, '6610800': 0.08778989122985348, '6610796': 0.08756723557165656, '232429': 0.06603881928872166, '6779124': 0.06474951807348041, '172362': 0.05966327315403065, '3163393': 0.051595367063033505, '6779130': 0.04194320355057453, '2173887': 0.02843988934096315, '6610805': 0.02241987031985722, '2173891': 0.01710605146235786, '6503186': 0.016390970965282026, '4703541': 0.01601388550620993, '1853578': 0.015485021862629194, '428244': 0.012196535475626432, '6503189': 0.012144773028455253, '1513887': 0.010142707556352631, '102386': 0.010026035059664627, '2629972': 0.009762337088125107, '2173888': 0.007521047397371228, '4703546': 0.0072892807569570565, '6779132': 0.006984268277287746, '4703543': 0.004765577211645157, '2096601': 0.001490566150842205, '1853584': 0.0, '232431': 0.0}"
81,94882,colors in dreams and their meaning,"{'3316294': 101.58826035233437, '3316295': 97.44741413464784, '3316291': 95.43221433585829, '3316293': 94.66820840760289, '3316290': 85.80027629685854, '5357682': 12.787382374362398, '2629972': 12.223052596634815, '2629975': 10.764247889002677, '5357684': 10.369920592945167, '2629974': 9.533568302019873, '5357680': 7.181205231552641, '2629981': 3.9914617176909895, '5055633': 2.3703736177518415, '5135405': 2.1331959177073565, '2629976': 2.103077275108964, '428249': 1.924134947267023, '428244': 1.868100939828826, '2210789': 1.724464995632491, '2130525': 1.5899267968976827, '1260538': 1.517981430458672, '428250': 1.3355711521629798, '3917812': 1.1694212810975997, '6855087': 1.1377207925379145, '5055631': 1.1118508116762706, '5055630': 1.0568754413774994, '4811567': 0.8761243625659045, '8238449': 0.7755084320836142, '4365155': 0.6536140602769538, '903203': 0.6392018816939672, '428246': 0.6334383775850432, '4434768': 0.5193828813682515, '5357679': 0.4835224916868719, '903205': 0.36476455823966747, '6779126': 0.35179832118178334, '6651784': 0.3272944463151986, '1008954': 0.3237948671779478, '4434766': 0.3159347456396113, '3132750': 0.27468312570721654, '428252': 0.2728447876028681, '8238453': 0.2698469236239299, '1008960': 0.25434750025991965, '3034359': 0.2504649687878314, '3034360': 0.23694920917713944, '3996750': 0.1946420777195012, '5712812': 0.18498016912991733, '5712807': 0.16786388656511553, '406462': 0.16684526289609627, '6651783': 0.16435978172106017, '4365157': 0.1432036908471147, '4690510': 0.13601738451630352, '4365158': 0.13307826437030057, '4434769': 0.13059270206479412, '5383218': 0.12095139863759682, '6651785': 0.12071685541345782, '2706972': 0.11948139815215505, '5357681': 0.10769907225124631, '3467975': 0.10007996765369771, '251892': 0.0990347053502301, '2019368': 0.09895918851685831, '2706974': 0.09709796402784521, '8289810': 0.08833724683697089, '2019365': 0.08739343064171076, '6779130': 0.08238803423712512, '4690514': 0.08141994607294342, '2706980': 0.06962229663889904, '5021024': 0.06644650337318377, '2210795': 0.06140376339507747, '162759': 0.05651824859191798, '2136580': 0.054519266859625326, '317179': 0.04793118992384426, '3665327': 0.04186744096500471, '2759422': 0.03866888063897783, '3494284': 0.03417344847672643, '8238450': 0.031071907907949274, '6610805': 0.023914086614992124, '2096600': 0.02056345041163403, '5865929': 0.01995814251365974, '2759427': 0.01894463604449205, '406461': 0.015871759456340704, '2759419': 0.014268687899669024, '3132751': 0.013022560557982144, '3249177': 0.012063722125577707, '4181971': 0.010859759877513956, '1601553': 0.01016921893562874, '6503193': 0.009966595329593203, '251893': 0.008910217003049208, '6610796': 0.006961099357528293, '251897': 0.005248834590837383, '1853578': 0.004233187857670238, '6949188': 0.0030964844133772227, '3034353': 0.002674003462686161, '3494288': 0.001641387997082559, '3008366': 0.001262108330623056, '1879916': 0.001037234225708857, '2713590': 0.0004874903927446652, '2096608': 0.0, '2153177': 0.0, '2136579': 0.0, '6610802': 0.0, '317177': 0.0, '4359719': 0.0}"
82,833590,what is the most dangerous animals in the jungle,"{'3335172': 6662.204330594635, '3335171': 5971.791951108259, '3335168': 5582.378854871673, '3335177': 5256.532811745116, '3335176': 4591.640290184115, '3335174': 4535.508970722381, '2096601': 27.309572495017157, '3917811': 27.021120912898542, '706240': 22.53478676508921, '2096605': 11.88381829532323, '4950835': 9.978393730290934, '2044463': 7.695626507869765, '3917817': 5.8187342406673705, '4950836': 5.634943017033587, '2044458': 5.625486685189257, '147333': 3.365244832028628, '4950838': 3.3206107302477053, '6936667': 3.0052898177812595, '7924170': 2.578577106436409, '3730558': 2.2962601871539396, '2044464': 1.9902778372264525, '5021023': 1.3619598951172645, '3730566': 1.3275201805977088, '4950842': 0.9451058664640372, '2044460': 0.8812175971227976, '4175407': 0.7782808546510699, '6936661': 0.6809403641579372, '4703543': 0.650271869069833, '2096608': 0.46240937334338517, '3917818': 0.4158645840693397, '4474923': 0.2544239782546192, '4716749': 0.20234179625147125, '706238': 0.18432339318139604, '3730561': 0.11704450389284225, '4716747': 0.07870491431221878, '6936665': 0.04763764932639873, '6368191': 0.0380961610638995, '3917812': 0.03295147658635811, '496887': 0.013514152815488518, '4828354': 0.011580903781955799, '2096604': 0.011185152016477054, '796286': 0.0, '2096603': 0.0, '6800102': 0.0, '4828346': 0.0, '5783176': 0.0, '6936670': 0.0, '4950840': 0.0}"
83,1078552,wintergreen essential oil uses benefits,"{'3371128': 9.0, '3371132': 2.7002802490253854, '3371133': 0.0}"
